politica;indicador;TO;Brasil;% TO/Brasil;Ranking Brasil
CAF;UFPA;35.588;3.898.268;0,91%;20º
CAF;CAFs Pessoa Juridica ativos;73;9.161;0,80%;23º
CAF;Mulheres em CAF ativo;28.834;3.529.596;0,82%;21º
CAF;Homens em CAF ativo;32.060;3.519.584;0,91%;22º
