politica;indicador;uf;valor_uf_2019_2022;valor_uf_2023_2026;variacao_uf_pct;valor_brasil_2019_2022;valor_brasil_2023_2026;variacao_brasil_pct;anos_uf_2019_2022;anos_uf_2023_2026;formato
PRONAF;Valor total dos contratos;TO;597056593.13;1135383885.3200002;90.16352861424437;147180246661.84;186084028861.76;26.432746976776713;2019, 2020, 2021, 2022;2023, 2024, 2025;moeda
PRONAF;Contratos;TO;14525.0;17530.0;20.688468158347682;5690096.0;5455360.0;-4.125343403696524;2019, 2020, 2021, 2022;2023, 2024, 2025;inteiro
PRONAF;Operacoes;TO;14525.0;17530.0;20.688468158347682;5690096.0;5455360.0;-4.125343403696524;2019, 2020, 2021, 2022;2023, 2024, 2025;inteiro
ATER;Familias com ATER recebida no ano;TO;1297.0;1671.0;28.835774865073247;209809.0;92442.0;-55.93992631393314;2019, 2020, 2021, 2022;2023, 2024, 2025, 2026;inteiro
ATER;Familias com ATER iniciada no ano;TO;501.0;720.0;43.712574850299404;42900.0;36904.0;-13.976689976689983;2019, 2020, 2021, 2022;2023, 2024, 2025, 2026;inteiro
