politica;indicador;AC;Brasil;% AC/Brasil;Ranking Brasil
Mais Alimentos;Contratos;1.339;95.355;1,40%;18º
Mais Alimentos;Valor total dos contratos;R$ 19.836.383,06;R$ 3.533.334.483,94;0,56%;17º
