politica;indicador;PB;Brasil;% PB/Brasil;Ranking Brasil
Mais Alimentos;Contratos;3.746;95.355;3,93%;11º
Mais Alimentos;Valor total dos contratos;R$ 26.181.479,25;R$ 3.533.334.483,94;0,74%;14º
