politica;indicador;PB;Brasil;% PB/Brasil;Ranking Brasil
Garantia-Safra;Agricultores aderidos;70.763;900.332;7,86%;5º
Garantia-Safra;Agricultores com pagamento liberado;68.846;833.621;8,26%;5º
