politica;indicador;PB;Brasil;% PB/Brasil;Ranking Brasil
PNCF;Operacoes;1;417;0,24%;16º
PNCF;Valor liberado;R$ 67.985,00;R$ 104.024.293,61;0,07%;17º
PNCF;Valor medio liberado por operacao;R$ 67.985,00;R$ 249.458,74;27,25%;17º
