politica;indicador;DF;Brasil;% DF/Brasil;Ranking Brasil
Mais Alimentos;Contratos;13;95.355;0,01%;27º
Mais Alimentos;Valor total dos contratos;R$ 452.296,13;R$ 3.533.334.483,94;0,01%;27º
