politica;indicador;AP;Brasil;% AP/Brasil;Ranking Brasil
Mais Alimentos;Contratos;1.372;95.355;1,44%;17º
Mais Alimentos;Valor total dos contratos;R$ 17.999.905,00;R$ 3.533.334.483,94;0,51%;19º
