politica;indicador;AP;Brasil;% AP/Brasil;Ranking Brasil
PRONAF;Contratos;2.236;482.017;0,46%;24º
PRONAF;Valor total dos contratos;R$ 35.604.893,57;R$ 14.671.081.816,64;0,24%;26º
PRONAF;Operacoes;2.236;482.017;0,46%;24º
PRONAF;Contratos feminino;235;128.756;0,18%;24º
PRONAF;Valor contratos feminino;R$ 5.476.933,96;R$ 2.393.128.376,45;0,23%;25º
