politica;indicador;uf;valor_uf_2019_2022;valor_uf_2023_2026;variacao_uf_pct;valor_brasil_2019_2022;valor_brasil_2023_2026;variacao_brasil_pct;anos_uf_2019_2022;anos_uf_2023_2026;formato
PRONAF;Valor total dos contratos;AP;53667683.61000001;101617621.86;89.34601798439718;147180246661.84;186084028861.76;26.432746976776713;2019, 2020, 2021, 2022;2023, 2024, 2025;moeda
PRONAF;Contratos;AP;2205.0;4423.0;100.58956916099775;5690096.0;5455360.0;-4.125343403696524;2019, 2020, 2021, 2022;2023, 2024, 2025;inteiro
PRONAF;Operacoes;AP;2205.0;4423.0;100.58956916099775;5690096.0;5455360.0;-4.125343403696524;2019, 2020, 2021, 2022;2023, 2024, 2025;inteiro
ATER;Familias com ATER recebida no ano;AP;271.0;2040.0;652.7675276752768;209809.0;92442.0;-55.93992631393314;2021, 2022;2023, 2024, 2025, 2026;inteiro
ATER;Familias com ATER iniciada no ano;AP;150.0;1474.0;882.6666666666666;42900.0;36904.0;-13.976689976689983;2021, 2022;2023, 2024, 2025, 2026;inteiro
