politica;indicador;AP;Brasil;% AP/Brasil;Ranking Brasil
PNRA;Familias em PA criado diferenciado;30;2.341;1,28%;5º
PNRA;Familias em PA criado tradicional;0;40;0,00%;4º
PNRA;Familias em reconhecimento;0;2.000;0,00%;13º
PNRA;Familias em regularizacao;12;4.738;0,25%;25º
PNRA;Total de familias;42;9.119;0,46%;21º
