politica;ano;uf;codigo_ibge;nome_uf;indicador;valor;formato;dt_referencia;dt_geracao;arquivo_origem
PRONAF;2015;PB;25;Paraíba;Valor total dos contratos;227214921.83;moeda;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;PB;25;Paraíba;Operacoes;68682.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;PE;26;Pernambuco;Contratos;100278.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;PE;26;Pernambuco;Valor total dos contratos;384343730.7;moeda;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;PE;26;Pernambuco;Operacoes;100278.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;PI;22;Piauí;Contratos;106419.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;PI;22;Piauí;Valor total dos contratos;294292119.9;moeda;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;PI;22;Piauí;Operacoes;106419.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;PR;41;Paraná;Contratos;137956.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;PR;41;Paraná;Valor total dos contratos;3599730427.67;moeda;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;PR;41;Paraná;Operacoes;137956.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;RJ;33;Rio de Janeiro;Contratos;5216.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;RJ;33;Rio de Janeiro;Valor total dos contratos;108458246.55;moeda;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;RJ;33;Rio de Janeiro;Operacoes;5216.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;RN;24;Rio Grande do Norte;Contratos;45194.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;RN;24;Rio Grande do Norte;Valor total dos contratos;162367855.69;moeda;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;RN;24;Rio Grande do Norte;Operacoes;45194.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;RO;11;Rondônia;Contratos;24519.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;RO;11;Rondônia;Valor total dos contratos;761346038.36;moeda;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;RO;11;Rondônia;Operacoes;24519.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;RR;14;Roraima;Contratos;1396.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;RR;14;Roraima;Valor total dos contratos;42503554.06;moeda;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;RR;14;Roraima;Operacoes;1396.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;RS;43;Rio Grande do Sul;Contratos;237096.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;RS;43;Rio Grande do Sul;Valor total dos contratos;5257070714.72;moeda;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;RS;43;Rio Grande do Sul;Operacoes;237096.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;SC;42;Santa Catarina;Contratos;100113.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;SC;42;Santa Catarina;Valor total dos contratos;2378413118.69;moeda;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;SC;42;Santa Catarina;Operacoes;100113.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;SE;28;Sergipe;Contratos;38983.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;SE;28;Sergipe;Valor total dos contratos;169426796.81;moeda;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;SE;28;Sergipe;Operacoes;38983.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;SP;35;São Paulo;Contratos;29766.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;SP;35;São Paulo;Valor total dos contratos;910503051.4399999;moeda;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;SP;35;São Paulo;Operacoes;29766.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;TO;17;Tocantins;Contratos;11208.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;TO;17;Tocantins;Valor total dos contratos;251692514.9;moeda;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2015;TO;17;Tocantins;Operacoes;11208.0;inteiro;2015_12;2026_04_29;pronaf_gaia_historico_anual_2015.xlsx
PRONAF;2016;AC;12;Acre;Contratos;2714.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;AC;12;Acre;Valor total dos contratos;84389623.77;moeda;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;AC;12;Acre;Operacoes;2714.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;AL;27;Alagoas;Contratos;30653.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;AL;27;Alagoas;Valor total dos contratos;123406729.0;moeda;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;AL;27;Alagoas;Operacoes;30653.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;AM;13;Amazonas;Contratos;535.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;AM;13;Amazonas;Valor total dos contratos;13262410.19;moeda;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;AM;13;Amazonas;Operacoes;535.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;AP;16;Amapá;Contratos;140.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
