politica;indicador;uf;codigo_ibge;nome_uf;valor_uf;valor_brasil;percentual_uf_brasil;ranking_brasil;formato;dt_referencia;dt_geracao;arquivo_origem
CAF;UFPA;AC;12;Acre;33319.0;3898268.0;0.8547129135298035;22;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;UFPA;AL;27;Alagoas;91048.0;3898268.0;2.3356013491119647;12;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;UFPA;AP;16;Amapá;21471.0;3898268.0;0.5507830657102076;24;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;UFPA;AM;13;Amazonas;65014.0;3898268.0;1.667766300315935;15;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;UFPA;BA;29;Bahia;720630.0;3898268.0;18.485901944145454;1;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;UFPA;CE;23;Ceará;416858.0;3898268.0;10.693415639971393;2;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;UFPA;DF;53;Distrito Federal;3882.0;3898268.0;0.09958268646486082;27;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;UFPA;ES;32;Espírito Santo;55095.0;3898268.0;1.4133199667134226;17;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;UFPA;GO;52;Goiás;41052.0;3898268.0;1.0530830615032112;19;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;UFPA;MA;21;Maranhão;356866.0;3898268.0;9.154475782578315;3;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;UFPA;MT;51;Mato Grosso;46130.0;3898268.0;1.1833460398310225;18;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;UFPA;MS;50;Mato Grosso do Sul;28415.0;3898268.0;0.7289134559245286;23;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;UFPA;MG;31;Minas Gerais;266478.0;3898268.0;6.835805029310453;6;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;UFPA;PA;15;Pará;216099.0;3898268.0;5.54346186562853;7;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;UFPA;PB;25;Paraíba;196290.0;3898268.0;5.035313118543928;9;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;UFPA;PR;41;Paraná;110405.0;3898268.0;2.832155203285151;11;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;UFPA;PE;26;Pernambuco;325988.0;3898268.0;8.362380421253746;4;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;UFPA;PI;22;Piauí;281486.0;3898268.0;7.220796517838178;5;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;UFPA;RJ;33;Rio de Janeiro;12569.0;3898268.0;0.3224252411583811;26;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;UFPA;RN;24;Rio Grande do Norte;121990.0;3898268.0;3.129338465185051;10;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;UFPA;RS;43;Rio Grande do Sul;198445.0;3898268.0;5.090594079216719;8;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;UFPA;RO;11;Rondônia;58847.0;3898268.0;1.509567838845354;16;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;UFPA;RR;14;Roraima;13972.0;3898268.0;0.35841558353607295;25;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;UFPA;SC;42;Santa Catarina;79161.0;3898268.0;2.03067105699249;13;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;UFPA;SP;35;São Paulo;35321.0;3898268.0;0.9060690542569161;21;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;UFPA;SE;28;Sergipe;65849.0;3898268.0;1.68918606930052;14;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;UFPA;TO;17;Tocantins;35588.0;3898268.0;0.9129182498483943;20;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;CAFs Pessoa Juridica ativos;AC;12;Acre;96.0;9161.0;1.0479205326929375;21;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;CAFs Pessoa Juridica ativos;AL;27;Alagoas;253.0;9161.0;2.761707237201179;13;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;CAFs Pessoa Juridica ativos;AP;16;Amapá;89.0;9161.0;0.9715096605174108;22;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;CAFs Pessoa Juridica ativos;AM;13;Amazonas;293.0;9161.0;3.198340792489903;12;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;CAFs Pessoa Juridica ativos;BA;29;Bahia;2064.0;9161.0;22.530291452898155;1;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;CAFs Pessoa Juridica ativos;CE;23;Ceará;322.0;9161.0;3.514900120074228;10;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;CAFs Pessoa Juridica ativos;DF;53;Distrito Federal;41.0;9161.0;0.447549394170942;27;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;CAFs Pessoa Juridica ativos;ES;32;Espírito Santo;175.0;9161.0;1.9102718043881675;16;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;CAFs Pessoa Juridica ativos;GO;52;Goiás;169.0;9161.0;1.8447767710948586;17;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;CAFs Pessoa Juridica ativos;MA;21;Maranhão;646.0;9161.0;7.051631917912891;4;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;CAFs Pessoa Juridica ativos;MT;51;Mato Grosso;213.0;9161.0;2.325073681912455;14;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;CAFs Pessoa Juridica ativos;MS;50;Mato Grosso do Sul;159.0;9161.0;1.7356183822726776;18;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;CAFs Pessoa Juridica ativos;MG;31;Minas Gerais;681.0;9161.0;7.433686278790525;3;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;CAFs Pessoa Juridica ativos;PA;15;Pará;364.0;9161.0;3.973365353127388;9;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;CAFs Pessoa Juridica ativos;PB;25;Paraíba;313.0;9161.0;3.416657570134265;11;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;CAFs Pessoa Juridica ativos;PR;41;Paraná;464.0;9161.0;5.064949241349197;6;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;CAFs Pessoa Juridica ativos;PE;26;Pernambuco;408.0;9161.0;4.4536622639449845;8;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;CAFs Pessoa Juridica ativos;PI;22;Piauí;514.0;9161.0;5.610741185460102;5;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;CAFs Pessoa Juridica ativos;RJ;33;Rio de Janeiro;72.0;9161.0;0.7859403995197032;24;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
