politica;indicador;SP;Brasil;% SP/Brasil;Ranking Brasil
ATER;Familias com ATER iniciada no ano;878;5.785;15,18%;1º
ATER;Familias com ATER recebida no ano;1.311;16.855;7,78%;3º
