politica;indicador;valor_uf;valor_brasil;percentual_uf_brasil;ranking_brasil;formato
CAF;UFPA;35321.0;3898268.0;0.906069054256916;21;inteiro
PRONAF;Valor total dos contratos;308450209.85;14671081816.64;2.102436709882938;15;moeda
Mais Alimentos;Valor total dos contratos;98517513.12;3533334483.94;2.7882305954273456;7;moeda
ATER;Familias com ATER recebida no ano;1311.0;16855.0;7.778107386532186;3;inteiro
Garantia-Safra;Agricultores com pagamento liberado;;833621.0;;Sem Informação;inteiro
PNCF;Valor liberado;8495877.3;104024293.60999998;8.167204991414891;5;moeda
PNRA;Total de familias;45.0;9119.0;0.4934751617501919;20;inteiro
