politica;indicador;SC;Brasil;% SC/Brasil;Ranking Brasil
Mais Alimentos;Contratos;5.527;95.355;5,80%;7º
Mais Alimentos;Valor total dos contratos;R$ 580.058.120,89;R$ 3.533.334.483,94;16,42%;2º
