politica;indicador;SC;Brasil;% SC/Brasil;Ranking Brasil
PNCF;Operacoes;1;417;0,24%;16º
PNCF;Valor liberado;R$ 280.000,00;R$ 104.024.293,61;0,27%;16º
PNCF;Valor medio liberado por operacao;R$ 280.000,00;R$ 249.458,74;112,24%;5º
