politica;indicador;SC;Brasil;% SC/Brasil;Ranking Brasil
PRONAF;Contratos;18.872;482.017;3,92%;10º
PRONAF;Valor total dos contratos;R$ 1.706.160.904,82;R$ 14.671.081.816,64;11,63%;2º
PRONAF;Operacoes;18.872;482.017;3,92%;10º
PRONAF;Contratos feminino;1.537;128.756;1,19%;14º
PRONAF;Valor contratos feminino;R$ 157.195.947,67;R$ 2.393.128.376,45;6,57%;5º
