politica;indicador;SE;Brasil;% SE/Brasil;Ranking Brasil
PNRA;Familias em PA criado diferenciado;0;2.341;0,00%;9º
PNRA;Familias em PA criado tradicional;0;40;0,00%;4º
PNRA;Familias em reconhecimento;256;2.000;12,80%;2º
PNRA;Familias em regularizacao;47;4.738;0,99%;18º
PNRA;Total de familias;303;9.119;3,32%;8º
