politica;indicador;SE;Brasil;% SE/Brasil;Ranking Brasil
PRONAF;Contratos;12.988;482.017;2,69%;14º
PRONAF;Valor total dos contratos;R$ 357.701.496,26;R$ 14.671.081.816,64;2,44%;12º
PRONAF;Operacoes;12.988;482.017;2,69%;14º
PRONAF;Contratos feminino;3.991;128.756;3,10%;10º
PRONAF;Valor contratos feminino;R$ 75.370.489,87;R$ 2.393.128.376,45;3,15%;12º
