politica;indicador;SE;Brasil;% SE/Brasil;Ranking Brasil
CAF;UFPA;65.849;3.898.268;1,69%;14º
CAF;CAFs Pessoa Juridica ativos;109;9.161;1,19%;20º
CAF;Mulheres em CAF ativo;57.184;3.529.596;1,62%;15º
CAF;Homens em CAF ativo;54.401;3.519.584;1,55%;17º
