dt_referencia;dt_geracao;cod_ibge;nome_municipio;uf;numero_familias_pa_criado_diferenciado_pnra;numero_familias_pa_criado_tradicional_pnra;numero_familias_reconhecimento_pnra;numero_familias_regularizacao_pnra;total_numero_familias_pnra;arquivo_origem
2026 até mar;2026_04_15;1101450;Parecis-RO;RO;0.0;0.0;0.0;1.0;1.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1101468;Pimenteiras do Oeste-RO;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1101476;Primavera de Rondônia-RO;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1101484;São Felipe D'Oeste-RO;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1101492;São Francisco do Guaporé-RO;RO;0.0;0.0;0.0;6.0;6.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1101500;Seringueiras-RO;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1101559;Teixeirópolis-RO;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1101609;Theobroma-RO;RO;0.0;0.0;0.0;2.0;2.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1101708;Urupá-RO;RO;0.0;0.0;0.0;3.0;3.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1101757;Vale do Anari-RO;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1101807;Vale do Paraíso-RO;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1199999;nan;RO;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1200013;Acrelândia-AC;AC;0.0;0.0;0.0;2.0;2.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1200054;Assis Brasil-AC;AC;0.0;0.0;0.0;96.0;96.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1200104;Brasiléia-AC;AC;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1200138;Bujari-AC;AC;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1200179;Capixaba-AC;AC;67.0;0.0;1.0;3.0;71.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1200203;Cruzeiro do Sul-AC;AC;0.0;0.0;0.0;55.0;55.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1200252;Epitaciolândia-AC;AC;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1200302;Feijó-AC;AC;0.0;0.0;0.0;1.0;1.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1200328;Jordão-AC;AC;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1200336;Mâncio Lima-AC;AC;7.0;0.0;0.0;0.0;7.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1200344;Manoel Urbano-AC;AC;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1200351;Marechal Thaumaturgo-AC;AC;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1200385;Plácido de Castro-AC;AC;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1200393;Porto Walter-AC;AC;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1200401;Rio Branco-AC;AC;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1200427;Rodrigues Alves-AC;AC;0.0;0.0;0.0;10.0;10.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1200435;Santa Rosa do Purus-AC;AC;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1200450;Senador Guiomard-AC;AC;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1200500;Sena Madureira-AC;AC;207.0;0.0;0.0;0.0;207.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1200609;Tarauacá-AC;AC;0.0;0.0;0.0;3.0;3.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1200708;Xapuri-AC;AC;0.0;0.0;19.0;0.0;19.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1200807;Porto Acre-AC;AC;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1299999;nan;AC;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1300029;Alvarães-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1300060;Amaturá-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1300086;Anamã-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1300102;Anori-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1300144;Apuí-AM;AM;3.0;0.0;0.0;0.0;3.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1300201;Atalaia do Norte-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1300300;Autazes-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1300409;Barcelos-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1300508;Barreirinha-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1300607;Benjamin Constant-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1300631;Beruri-AM;AM;1.0;0.0;0.0;0.0;1.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1300680;Boa Vista do Ramos-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1300706;Boca do Acre-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1300805;Borba-AM;AM;46.0;0.0;0.0;0.0;46.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1300839;Caapiranga-AM;AM;56.0;0.0;0.0;0.0;56.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1300904;Canutama-AM;AM;0.0;0.0;0.0;6.0;6.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1301001;Carauari-AM;AM;0.0;0.0;0.0;10.0;10.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1301100;Careiro-AM;AM;6.0;0.0;0.0;5.0;11.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1301159;Careiro da Várzea-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1301209;Coari-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1301308;Codajás-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1301407;Eirunepé-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1301506;Envira-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1301605;Fonte Boa-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1301654;Guajará-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1301704;Humaitá-AM;AM;2.0;0.0;0.0;0.0;2.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1301803;Ipixuna-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1301852;Iranduba-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1301902;Itacoatiara-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1301951;Itamarati-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1302009;Itapiranga-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1302108;Japurá-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1302207;Juruá-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1302306;Jutaí-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1302405;Lábrea-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1302504;Manacapuru-AM;AM;169.0;0.0;0.0;0.0;169.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1302553;Manaquiri-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1302603;Manaus-AM;AM;0.0;0.0;0.0;1.0;1.0;PNRA_2026_2026_04_15.xlsx
