politica;indicador;RJ;Brasil;% RJ/Brasil;Ranking Brasil
Mais Alimentos;Contratos;137;95.355;0,14%;26º
Mais Alimentos;Valor total dos contratos;R$ 12.940.269,02;R$ 3.533.334.483,94;0,37%;23º
