politica;indicador;PA;Brasil;% PA/Brasil;Ranking Brasil
Mais Alimentos;Contratos;4.432;95.355;4,65%;10º
Mais Alimentos;Valor total dos contratos;R$ 61.122.026,86;R$ 3.533.334.483,94;1,73%;9º
