tipo;politica;arquivo;aba;qtd_colunas;colunas
historico;pronaf;pronaf_gaia_historico_anual_2020.xlsx;Totalizadores;17;dt_referencia, dt_geracao, uf, cod_ibge_uf, ANO, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2020.xlsx;Dados;19;dt_referencia, dt_geracao, ANO, nome_municipio, uf, cod_ibge_municipio, cod_ibge_uf, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2021.xlsx;Resumo;1;Orientacoes gerais sobre a planilha de dados historicos:
historico;pronaf;pronaf_gaia_historico_anual_2021.xlsx;Totalizadores;17;dt_referencia, dt_geracao, uf, cod_ibge_uf, ANO, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2021.xlsx;Dados;19;dt_referencia, dt_geracao, ANO, nome_municipio, uf, cod_ibge_municipio, cod_ibge_uf, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2022.xlsx;Resumo;1;Orientacoes gerais sobre a planilha de dados historicos:
historico;pronaf;pronaf_gaia_historico_anual_2022.xlsx;Totalizadores;17;dt_referencia, dt_geracao, uf, cod_ibge_uf, ANO, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2022.xlsx;Dados;19;dt_referencia, dt_geracao, ANO, nome_municipio, uf, cod_ibge_municipio, cod_ibge_uf, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2023.xlsx;Resumo;1;Orientacoes gerais sobre a planilha de dados historicos:
historico;pronaf;pronaf_gaia_historico_anual_2023.xlsx;Totalizadores;17;dt_referencia, dt_geracao, uf, cod_ibge_uf, ANO, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2023.xlsx;Dados;19;dt_referencia, dt_geracao, ANO, nome_municipio, uf, cod_ibge_municipio, cod_ibge_uf, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2024.xlsx;Resumo;1;Orientacoes gerais sobre a planilha de dados historicos:
historico;pronaf;pronaf_gaia_historico_anual_2024.xlsx;Totalizadores;17;dt_referencia, dt_geracao, uf, cod_ibge_uf, ANO, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2024.xlsx;Dados;19;dt_referencia, dt_geracao, ANO, nome_municipio, uf, cod_ibge_municipio, cod_ibge_uf, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2025.xlsx;Resumo;1;Orientacoes gerais sobre a planilha de dados historicos:
historico;pronaf;pronaf_gaia_historico_anual_2025.xlsx;Totalizadores;17;dt_referencia, dt_geracao, uf, cod_ibge_uf, ANO, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;pronaf;pronaf_gaia_historico_anual_2025.xlsx;Dados;19;dt_referencia, dt_geracao, ANO, nome_municipio, uf, cod_ibge_municipio, cod_ibge_uf, qtd_contratos_anual_Feminino, qtd_contratos_anual_Masculino, qtd_contratos_anual_Sem_Identificacao, valor_total_contratos_anual_Feminino, valor_total_contratos_anual_Masculino, valor_total_contratos_anual_Sem_Identificacao, qtd_operacoes_anual_Feminino, qtd_operacoes_anual_Masculino, qtd_operacoes_anual_Sem_Identificacao, ticket_medio_anual_Feminino, ticket_medio_anual_Masculino, ticket_medio_anual_Sem_Identificacao
historico;ater;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx;Orientações;1;Orientações
historico;ater;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx;DADOS;10;dt_referencia, dt_geracao, ano, cod_ibge, nome_municipio, uf, Quantidade de atendimentos_ano, Soma de familias_com_ater_recebida_no_ano, Soma de familias_com_ater_iniciada_no_ano, media_atendimentos_por_familia
historico;ater;ater_ano_2018_ref_2025-11-30_gerado_em_20251212192827.xlsx;TOTALIZADORES;1;Planilha de Dados - Totalizadores
historico;ater;ater_ano_2019_ref_2025-11-30_gerado_em_20251212192827.xlsx;Orientações;1;Orientações
historico;ater;ater_ano_2019_ref_2025-11-30_gerado_em_20251212192827.xlsx;DADOS;10;dt_referencia, dt_geracao, ano, cod_ibge, nome_municipio, uf, Quantidade de atendimentos_ano, Soma de familias_com_ater_recebida_no_ano, Soma de familias_com_ater_iniciada_no_ano, media_atendimentos_por_familia
historico;ater;ater_ano_2019_ref_2025-11-30_gerado_em_20251212192827.xlsx;TOTALIZADORES;1;Planilha de Dados - Totalizadores
historico;ater;ater_ano_2020_ref_2025-11-30_gerado_em_20251212192827.xlsx;Orientações;1;Orientações
historico;ater;ater_ano_2020_ref_2025-11-30_gerado_em_20251212192827.xlsx;DADOS;10;dt_referencia, dt_geracao, ano, cod_ibge, nome_municipio, uf, Quantidade de atendimentos_ano, Soma de familias_com_ater_recebida_no_ano, Soma de familias_com_ater_iniciada_no_ano, media_atendimentos_por_familia
historico;ater;ater_ano_2020_ref_2025-11-30_gerado_em_20251212192827.xlsx;TOTALIZADORES;1;Planilha de Dados - Totalizadores
historico;ater;ater_ano_2021_ref_2025-11-30_gerado_em_20251212192827.xlsx;Orientações;1;Orientações
