politica;indicador;BA;Brasil;% BA/Brasil;Ranking Brasil
Garantia-Safra;Agricultores aderidos;333.616;900.332;37,05%;1º
Garantia-Safra;Agricultores com pagamento liberado;317.522;833.621;38,09%;1º
