politica;indicador;BA;Brasil;% BA/Brasil;Ranking Brasil
Mais Alimentos;Contratos;13.068;95.355;13,70%;1º
Mais Alimentos;Valor total dos contratos;R$ 147.416.498,03;R$ 3.533.334.483,94;4,17%;6º
