politica;indicador;BA;Brasil;% BA/Brasil;Ranking Brasil
CAF;UFPA;720.630;3.898.268;18,49%;1º
CAF;CAFs Pessoa Juridica ativos;2.064;9.161;22,53%;1º
CAF;Mulheres em CAF ativo;655.056;3.529.596;18,56%;1º
CAF;Homens em CAF ativo;626.049;3.519.584;17,79%;1º
