politica;indicador;PE;Brasil;% PE/Brasil;Ranking Brasil
Mais Alimentos;Contratos;4.970;95.355;5,21%;9º
Mais Alimentos;Valor total dos contratos;R$ 41.529.070,92;R$ 3.533.334.483,94;1,18%;10º
