politica;indicador;PE;Brasil;% PE/Brasil;Ranking Brasil
Garantia-Safra;Agricultores aderidos;119.602;900.332;13,28%;3º
Garantia-Safra;Agricultores com pagamento liberado;114.080;833.621;13,68%;3º
