politica;indicador;uf;valor_uf_2019_2022;valor_uf_2023_2026;variacao_uf_pct;valor_brasil_2019_2022;valor_brasil_2023_2026;variacao_brasil_pct;anos_uf_2019_2022;anos_uf_2023_2026;formato
PRONAF;Valor total dos contratos;PE;2419029037.29;4323204281.67;78.71651042739106;147180246661.84;186084028861.76;26.432746976776713;2019, 2020, 2021, 2022;2023, 2024, 2025;moeda
PRONAF;Contratos;PE;360063.0;357530.0;-0.7034880007109834;5690096.0;5455360.0;-4.125343403696524;2019, 2020, 2021, 2022;2023, 2024, 2025;inteiro
PRONAF;Operacoes;PE;360063.0;357530.0;-0.7034880007109834;5690096.0;5455360.0;-4.125343403696524;2019, 2020, 2021, 2022;2023, 2024, 2025;inteiro
ATER;Familias com ATER recebida no ano;PE;21866.0;5863.0;-73.18668252080856;209809.0;92442.0;-55.93992631393314;2019, 2020, 2021, 2022;2023, 2024, 2025, 2026;inteiro
ATER;Familias com ATER iniciada no ano;PE;2568.0;1899.0;-26.051401869158873;42900.0;36904.0;-13.976689976689983;2019, 2020, 2021, 2022;2023, 2024, 2025, 2026;inteiro
