politica;indicador;RS;Brasil;% RS/Brasil;Ranking Brasil
CAF;UFPA;198.445;3.898.268;5,09%;8º
CAF;CAFs Pessoa Juridica ativos;749;9.161;8,18%;2º
CAF;Mulheres em CAF ativo;164.565;3.529.596;4,66%;9º
CAF;Homens em CAF ativo;196.773;3.519.584;5,59%;7º
