politica;indicador;RS;Brasil;% RS/Brasil;Ranking Brasil
PRONAF;Contratos;31.384;482.017;6,51%;7º
PRONAF;Valor total dos contratos;R$ 2.311.754.077,88;R$ 14.671.081.816,64;15,76%;1º
PRONAF;Operacoes;31.384;482.017;6,51%;7º
PRONAF;Contratos feminino;3.830;128.756;2,97%;11º
PRONAF;Valor contratos feminino;R$ 289.621.170,58;R$ 2.393.128.376,45;12,10%;2º
