politica;indicador;GO;Brasil;% GO/Brasil;Ranking Brasil
PRONAF;Contratos;4.797;482.017;1,00%;17º
PRONAF;Valor total dos contratos;R$ 303.531.328,87;R$ 14.671.081.816,64;2,07%;16º
PRONAF;Operacoes;4.797;482.017;1,00%;17º
PRONAF;Contratos feminino;761;128.756;0,59%;17º
PRONAF;Valor contratos feminino;R$ 38.409.713,85;R$ 2.393.128.376,45;1,61%;18º
