politica;indicador;GO;Brasil;% GO/Brasil;Ranking Brasil
Mais Alimentos;Contratos;251;95.355;0,26%;24º
Mais Alimentos;Valor total dos contratos;R$ 12.832.096,70;R$ 3.533.334.483,94;0,36%;24º
