politica;indicador;MA;Brasil;% MA/Brasil;Ranking Brasil
PRONAF;Contratos;34.582;482.017;7,17%;6º
PRONAF;Valor total dos contratos;R$ 428.622.270,23;R$ 14.671.081.816,64;2,92%;10º
PRONAF;Operacoes;34.582;482.017;7,17%;6º
PRONAF;Contratos feminino;11.431;128.756;8,88%;4º
PRONAF;Valor contratos feminino;R$ 108.397.934,40;R$ 2.393.128.376,45;4,53%;8º
