politica;indicador;MA;Brasil;% MA/Brasil;Ranking Brasil
Mais Alimentos;Contratos;6.396;95.355;6,71%;6º
Mais Alimentos;Valor total dos contratos;R$ 35.748.894,62;R$ 3.533.334.483,94;1,01%;11º
