politica;indicador;MA;Brasil;% MA/Brasil;Ranking Brasil
PNRA;Familias em PA criado diferenciado;1;2.341;0,04%;8º
PNRA;Familias em PA criado tradicional;0;40;0,00%;4º
PNRA;Familias em reconhecimento;1.589;2.000;79,45%;1º
PNRA;Familias em regularizacao;637;4.738;13,44%;3º
PNRA;Total de familias;2.227;9.119;24,42%;1º
