politica;indicador;AM;Brasil;% AM/Brasil;Ranking Brasil
PRONAF;Contratos;2.937;482.017;0,61%;23º
PRONAF;Valor total dos contratos;R$ 45.013.305,12;R$ 14.671.081.816,64;0,31%;25º
PRONAF;Operacoes;2.937;482.017;0,61%;23º
PRONAF;Contratos feminino;308;128.756;0,24%;23º
PRONAF;Valor contratos feminino;R$ 4.576.762,08;R$ 2.393.128.376,45;0,19%;26º
