politica;indicador;AM;Brasil;% AM/Brasil;Ranking Brasil
PNRA;Familias em PA criado diferenciado;498;2.341;21,27%;2º
PNRA;Familias em PA criado tradicional;0;40;0,00%;4º
PNRA;Familias em reconhecimento;0;2.000;0,00%;13º
PNRA;Familias em regularizacao;130;4.738;2,74%;11º
PNRA;Total de familias;628;9.119;6,89%;4º
