politica;indicador;AM;Brasil;% AM/Brasil;Ranking Brasil
Mais Alimentos;Contratos;1.631;95.355;1,71%;15º
Mais Alimentos;Valor total dos contratos;R$ 19.951.717,35;R$ 3.533.334.483,94;0,56%;16º
