politica;indicador;uf;valor_uf_2019_2022;valor_uf_2023_2026;variacao_uf_pct;valor_brasil_2019_2022;valor_brasil_2023_2026;variacao_brasil_pct;anos_uf_2019_2022;anos_uf_2023_2026;formato
PRONAF;Valor total dos contratos;AM;114975501.3;275957525.69;140.0141965634552;147180246661.84;186084028861.76;26.432746976776713;2019, 2020, 2021, 2022;2023, 2024, 2025;moeda
PRONAF;Contratos;AM;2976.0;9473.0;218.31317204301075;5690096.0;5455360.0;-4.125343403696524;2019, 2020, 2021, 2022;2023, 2024, 2025;inteiro
PRONAF;Operacoes;AM;2976.0;9473.0;218.31317204301075;5690096.0;5455360.0;-4.125343403696524;2019, 2020, 2021, 2022;2023, 2024, 2025;inteiro
ATER;Familias com ATER recebida no ano;AM;330.0;1136.0;244.24242424242425;209809.0;92442.0;-55.93992631393314;2021, 2022;2023, 2024, 2025, 2026;inteiro
ATER;Familias com ATER iniciada no ano;AM;329.0;341.0;3.6474164133738496;42900.0;36904.0;-13.976689976689983;2021, 2022;2023, 2024, 2025, 2026;inteiro
