politica;indicador;BA;Brasil;% BA/Brasil;Ranking Brasil
PRONAF;Contratos;84.248;482.017;17,48%;1º
PRONAF;Valor total dos contratos;R$ 1.229.653.837,93;R$ 14.671.081.816,64;8,38%;5º
PRONAF;Operacoes;84.248;482.017;17,48%;1º
PRONAF;Contratos feminino;27.852;128.756;21,63%;1º
PRONAF;Valor contratos feminino;R$ 299.122.992,75;R$ 2.393.128.376,45;12,50%;1º
