politica;indicador;RS;Brasil;% RS/Brasil;Ranking Brasil
PNRA;Familias em PA criado diferenciado;0;2.341;0,00%;9º
PNRA;Familias em PA criado tradicional;0;40;0,00%;4º
PNRA;Familias em reconhecimento;13;2.000;0,65%;7º
PNRA;Familias em regularizacao;51;4.738;1,08%;17º
PNRA;Total de familias;64;9.119;0,70%;18º
