politica;indicador;RS;Brasil;% RS/Brasil;Ranking Brasil
Mais Alimentos;Contratos;8.893;95.355;9,33%;4º
Mais Alimentos;Valor total dos contratos;R$ 934.349.947,53;R$ 3.533.334.483,94;26,44%;1º
