politica;indicador;RS;Brasil;% RS/Brasil;Ranking Brasil
ATER;Familias com ATER iniciada no ano;259;5.785;4,48%;12º
ATER;Familias com ATER recebida no ano;1.276;16.855;7,57%;4º
