politica;indicador;SP;Brasil;% SP/Brasil;Ranking Brasil
CAF;UFPA;35.321;3.898.268;0,91%;21º
CAF;CAFs Pessoa Juridica ativos;426;9.161;4,65%;7º
CAF;Mulheres em CAF ativo;33.325;3.529.596;0,94%;19º
CAF;Homens em CAF ativo;37.493;3.519.584;1,07%;19º
