politica;indicador;SP;Brasil;% SP/Brasil;Ranking Brasil
PRONAF;Contratos;4.077;482.017;0,85%;19º
PRONAF;Valor total dos contratos;R$ 308.450.209,85;R$ 14.671.081.816,64;2,10%;15º
PRONAF;Operacoes;4.077;482.017;0,85%;19º
PRONAF;Contratos feminino;722;128.756;0,56%;18º
PRONAF;Valor contratos feminino;R$ 40.622.987,13;R$ 2.393.128.376,45;1,70%;17º
