politica;indicador;SP;Brasil;% SP/Brasil;Ranking Brasil
Mais Alimentos;Contratos;793;95.355;0,83%;19º
Mais Alimentos;Valor total dos contratos;R$ 98.517.513,12;R$ 3.533.334.483,94;2,79%;7º
