politica;indicador;ES;Brasil;% ES/Brasil;Ranking Brasil
PNRA;Familias em PA criado diferenciado;0;2.341;0,00%;9º
PNRA;Familias em PA criado tradicional;0;40;0,00%;4º
PNRA;Familias em reconhecimento;2;2.000;0,10%;11º
PNRA;Familias em regularizacao;10;4.738;0,21%;26º
PNRA;Total de familias;12;9.119;0,13%;26º
