politica;indicador;ES;Brasil;% ES/Brasil;Ranking Brasil
Mais Alimentos;Contratos;3.566;95.355;3,74%;12º
Mais Alimentos;Valor total dos contratos;R$ 325.146.720,54;R$ 3.533.334.483,94;9,20%;5º
