politica;indicador;ES;Brasil;% ES/Brasil;Ranking Brasil
CAF;UFPA;55.095;3.898.268;1,41%;17º
CAF;CAFs Pessoa Juridica ativos;175;9.161;1,91%;16º
CAF;Mulheres em CAF ativo;56.600;3.529.596;1,60%;16º
CAF;Homens em CAF ativo;64.015;3.519.584;1,82%;15º
