politica;indicador;PB;Brasil;% PB/Brasil;Ranking Brasil
PNRA;Familias em PA criado diferenciado;0;2.341;0,00%;9º
PNRA;Familias em PA criado tradicional;0;40;0,00%;4º
PNRA;Familias em reconhecimento;5;2.000;0,25%;9º
PNRA;Familias em regularizacao;26;4.738;0,55%;22º
PNRA;Total de familias;31;9.119;0,34%;23º
