politica;indicador;PB;Brasil;% PB/Brasil;Ranking Brasil
CAF;UFPA;196.290;3.898.268;5,04%;9º
CAF;CAFs Pessoa Juridica ativos;313;9.161;3,42%;11º
CAF;Mulheres em CAF ativo;190.463;3.529.596;5,40%;7º
CAF;Homens em CAF ativo;178.832;3.519.584;5,08%;9º
