politica;indicador;AL;Brasil;% AL/Brasil;Ranking Brasil
PRONAF;Contratos;14.851;482.017;3,08%;12º
PRONAF;Valor total dos contratos;R$ 227.265.553,09;R$ 14.671.081.816,64;1,55%;18º
PRONAF;Operacoes;14.851;482.017;3,08%;12º
PRONAF;Contratos feminino;5.135;128.756;3,99%;9º
PRONAF;Valor contratos feminino;R$ 63.159.166,86;R$ 2.393.128.376,45;2,64%;14º
