politica;indicador;AL;Brasil;% AL/Brasil;Ranking Brasil
PNRA;Familias em PA criado diferenciado;0;2.341;0,00%;9º
PNRA;Familias em PA criado tradicional;0;40;0,00%;4º
PNRA;Familias em reconhecimento;5;2.000;0,25%;9º
PNRA;Familias em regularizacao;17;4.738;0,36%;23º
PNRA;Total de familias;22;9.119;0,24%;25º
