politica;indicador;AL;Brasil;% AL/Brasil;Ranking Brasil
Garantia-Safra;Agricultores aderidos;28.161;900.332;3,13%;8º
Garantia-Safra;Agricultores com pagamento liberado;24.814;833.621;2,98%;8º
