politica;indicador;uf;valor_uf_2019_2022;valor_uf_2023_2026;variacao_uf_pct;valor_brasil_2019_2022;valor_brasil_2023_2026;variacao_brasil_pct;anos_uf_2019_2022;anos_uf_2023_2026;formato
PRONAF;Valor total dos contratos;RR;288512649.65999997;397419113.35;37.747552427369044;147180246661.84;186084028861.76;26.432746976776713;2019, 2020, 2021, 2022;2023, 2024, 2025;moeda
PRONAF;Contratos;RR;6288.0;5128.0;-18.44783715012722;5690096.0;5455360.0;-4.125343403696524;2019, 2020, 2021, 2022;2023, 2024, 2025;inteiro
PRONAF;Operacoes;RR;6288.0;5128.0;-18.44783715012722;5690096.0;5455360.0;-4.125343403696524;2019, 2020, 2021, 2022;2023, 2024, 2025;inteiro
ATER;Familias com ATER recebida no ano;RR;219.0;199.0;-9.1324200913242;209809.0;92442.0;-55.93992631393314;2022;2023;inteiro
ATER;Familias com ATER iniciada no ano;RR;219.0;1.0;-99.5433789954338;42900.0;36904.0;-13.976689976689983;2022;2023;inteiro
