politica;indicador;RR;Brasil;% RR/Brasil;Ranking Brasil
Mais Alimentos;Contratos;263;95.355;0,28%;23º
Mais Alimentos;Valor total dos contratos;R$ 4.945.745,33;R$ 3.533.334.483,94;0,14%;26º
