politica;indicador;valor_uf;valor_brasil;percentual_uf_brasil;ranking_brasil;formato
CAF;UFPA;65014.0;3898268.0;1.667766300315935;15;inteiro
PRONAF;Valor total dos contratos;45013305.120000005;14671081816.64;0.306816536657479;25;moeda
Mais Alimentos;Valor total dos contratos;19951717.35;3533334483.94;0.5646710618733146;16;moeda
ATER;Familias com ATER recebida no ano;130.0;16855.0;0.77128448531593;24;inteiro
Garantia-Safra;Agricultores com pagamento liberado;274.0;833621.0;0.0328686537407287;11;inteiro
PNCF;Valor liberado;;104024293.60999998;;Sem Informação;moeda
PNRA;Total de familias;628.0;9119.0;6.886720035091567;4;inteiro
