politica;indicador;AM;Brasil;% AM/Brasil;Ranking Brasil
Garantia-Safra;Agricultores aderidos;705;900.332;0,08%;11º
Garantia-Safra;Agricultores com pagamento liberado;274;833.621;0,03%;11º
