uf;status;inicio;fim;duracao_segundos;notebook_executado;relatorio_word;mensagem
MT;ok;2026-05-05 09:26:08;2026-05-05 09:26:23;15.8;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_MT_20260505092608.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_MT_20260505092614.docx;Relat?rio gerado com sucesso.
PA;ok;2026-05-05 09:26:23;2026-05-05 09:26:44;20.3;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_PA_20260505092623.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_PA_20260505092630.docx;Relat?rio gerado com sucesso.
PB;ok;2026-05-05 09:26:44;2026-05-05 09:27:04;20.4;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_PB_20260505092644.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_PB_20260505092650.docx;Relat?rio gerado com sucesso.
PE;ok;2026-05-05 09:27:04;2026-05-05 09:27:25;21.2;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_PE_20260505092704.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_PE_20260505092711.docx;Relat?rio gerado com sucesso.
PI;ok;2026-05-05 09:27:25;2026-05-05 09:27:59;33.3;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_PI_20260505092725.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_PI_20260505092739.docx;Relat?rio gerado com sucesso.
PR;ok;2026-05-05 09:27:59;2026-05-05 09:28:32;33.1;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_PR_20260505092759.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_PR_20260505092812.docx;Relat?rio gerado com sucesso.
RJ;ok;2026-05-05 09:28:32;2026-05-05 09:29:03;31.7;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_RJ_20260505092832.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_RJ_20260505092844.docx;Relat?rio gerado com sucesso.
RN;ok;2026-05-05 09:29:03;2026-05-05 09:29:35;32.0;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_RN_20260505092903.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_RN_20260505092917.docx;Relat?rio gerado com sucesso.
RO;ok;2026-05-05 09:29:35;2026-05-05 09:30:08;32.4;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_RO_20260505092935.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_RO_20260505092948.docx;Relat?rio gerado com sucesso.
RR;ok;2026-05-05 09:30:08;2026-05-05 09:30:38;29.9;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_RR_20260505093008.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_RR_20260505093021.docx;Relat?rio gerado com sucesso.
RS;ok;2026-05-05 09:30:38;2026-05-05 09:31:09;31.5;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_RS_20260505093038.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_RS_20260505093052.docx;Relat?rio gerado com sucesso.
SC;ok;2026-05-05 09:31:09;2026-05-05 09:31:41;31.7;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_SC_20260505093109.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_SC_20260505093122.docx;Relat?rio gerado com sucesso.
SE;ok;2026-05-05 09:31:41;2026-05-05 09:32:15;34.5;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_SE_20260505093141.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_SE_20260505093155.docx;Relat?rio gerado com sucesso.
SP;ok;2026-05-05 09:32:15;2026-05-05 09:32:49;33.0;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_SP_20260505093215.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_SP_20260505093229.docx;Relat?rio gerado com sucesso.
TO;ok;2026-05-05 09:32:49;2026-05-05 09:33:18;29.6;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_TO_20260505093249.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_TO_20260505093301.docx;Relat?rio gerado com sucesso.
